Pos,Name,,Finish,time,,,Diff,,leg,tot,leg,tot,leg,tot,leg,tot,leg,tot,leg,tot,leg,tot,leg,tot,leg,tot,leg,tot,leg,tot,leg,tot,leg,tot,leg,tot,leg,tot,leg,tot,Name
Club,S-1,(46),1-2,(51),2-3,(52),3-4,(62),4-5,(72),5-6,(69),6-7,(67),7-8,(65),8-9,(73),9-10,(71),10-11,(70),11-12,(63),12-13,(64),13-14,(56),14-15,(59),15-F,Club,,,,,,,,,
1,Nick,Hann,44.39,0,1.53,(2),4,(2),2.01,(1),3.16,(1),3.22,(1),3.35,(2),1.26,(2),2,(2),2.42,(1),1.36,(1),5.17,(2),3.41,(3),2.08,(2),4.06,(1),2.36,(1),1,(1),Nick,Hann,,,
PAPO,Canterbury,1.53,(2),5.53,(2),7.54,(1),11.1,(1),14.32,(1),18.07,(1),19.33,(1),21.33,(1),24.15,(1),25.51,(1),31.08,(1),34.49,(1),36.57,(1),41.03,(1),43.39,(1),44.39,(1),PAPO,Canterbury,,,,,,
2,Alistair,Richardson,46.51,2.12,1.48,(1),3.55,(1),2.21,(4),3.55,(5),3.32,(2),3.29,(1),1.18,(1),1.59,(1),2.59,(3),1.37,(2),5.13,(1),3.38,(1),2.13,(3),4.45,(3),2.55,(2),1.14,(7),Alistair,Richardson,,,
DOC,Otago,1.48,(1),5.43,(1),8.04,(2),11.59,(3),15.31,(2),19,(2),20.18,(2),22.17,(2),25.16,(2),26.53,(2),32.06,(2),35.44,(2),37.57,(2),42.42,(2),45.37,(2),46.51,(2),DOC,Otago,,,,,,
3,Chris,Forne,47.42,3.03,2.01,(6),4.14,(3),2.04,(2),3.34,(2),3.41,(4),3.51,(4),1.3,(3),2.07,(4),2.54,(2),1.41,(4),5.38,(3),3.4,(2),2.36,(5),4.12,(2),2.56,(3),1.03,(2),Chris,Forne,,,
PAPO,Canterbury,2.01,(6),6.15,(3),8.19,(3),11.53,(2),15.34,(3),19.25,(3),20.55,(3),23.02,(3),25.56,(3),27.37,(3),33.15,(3),36.55,(3),39.31,(3),43.43,(3),46.39,(3),47.42,(3),PAPO,Canterbury,,,,,,
4,Stephen,Harding,54.37,9.58,1.57,(4),4.41,(6),2.59,(8),4.1,(6),4.16,(7),3.58,(6),1.3,(3),2.08,(5),2.59,(3),1.54,(6),7.59,(13),4.38,(4),2.04,(1),4.51,(4),3.27,(5),1.06,(4),Stephen,Harding,,,
PAPO,Canterbury,1.57,(4),6.38,(6),9.37,(5),13.47,(5),18.03,(5),22.01,(5),23.31,(5),25.39,(5),28.38,(5),30.32,(5),38.31,(5),43.09,(5),45.13,(5),50.04,(4),53.31,(4),54.37,(4),PAPO,Canterbury,,,,,,
5,Aaron,Prince,54.57,10.18,2,(5),4.41,(6),2.12,(3),3.42,(3),3.49,(5),3.53,(5),1.37,(6),2.05,(3),3.11,(6),1.4,(3),6.44,(8),5.16,(6),2.37,(6),7.19,(20),3.08,(4),1.03,(2),Aaron,Prince,,,
